"","Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
"203",2018-03-27,"1",2,"May","22",94,"34",96,95,NA,NA,NA
"204",2018-03-27,"0",26,"September","24",93,"37",96,95,"PS 188, PS 203",NA,"yes, if we get an offer"
"205",2018-03-28,"0",3,"November","16",84,"33",99,95,"PS166, PS163",NA,"Yes, but I guess not likely to get offer"
"206",2018-03-27,"1",2,"February","22",94,"39",99,94,"PS166",NA,NA
"207",2018-03-27,"1",2,"November","15",79,"35",99,94,"PS33, PS11",NA,"Not sure"
"208",2018-03-27,"1",2,"February","23",96,"33",92,94,"LL, PS 198, PS 130, PS 11, PS 33",NA,"Yes"
"209",2018-03-27,"0",20,"March","24",79,"44",99,94,":-(",NA,NA
"210",2018-03-27,"0",20,"June","27",99,"26",79,94,"No idea!","PS 205","No"
"211",2018-03-28,"0",2,"August","19",90,"32",96,94,"Ps11, ps33",NA,NA
"212",2018-03-27,"1",20,"June",NA,91,NA,95,93,NA,"\",NA
"213",2018-03-27,"2",3,"July",NA,62,NA,99,91,NA,NA,NA
"214",2021-01-19,"0",6,"August","15",75,"33",98,91,NA,NA,"No"
"215",2018-03-27,"1",2,"December","10",48,"31",98,84,NA,NA,"Maybe"
"216",2018-03-27,"1",2,"July","19",89,"24",0.71,81,":( maybe next year",NA,NA
"217",2018-03-27,"1",2,"August","13",62,"29",91,79,NA,NA,NA
